source,target,timestamp,label,feature
1,2,1,0,0
1,3,1,0,0
4,5,1,0,0
3,5,1,0,0
5,6,1,0,0
6,7,1,0,0
8,9,1,0,0
8,5,1,0,0
9,10,1,0,0
4,11,1,0,0
5,11,1,0,0
11,12,1,0,0
2,12,1,0,0
3,12,1,0,0
7,12,1,0,0
11,13,1,0,0
12,14,1,0,0
13,15,1,0,0
14,15,1,0,0
12,16,1,0,0
15,17,1,0,0
16,17,1,0,0
17,18,1,0,0
18,19,1,0,0
19,20,1,0,0
15,19,1,0,0
20,21,1,0,0
21,22,1,0,0
22,23,1,0,0
23,24,1,0,0
23,25,1,0,0
26,25,1,0,0
25,27,1,0,0
27,28,1,0,0
28,29,1,0,0
30,17,1,0,0
8,30,1,0,0
26,30,1,0,0
17,31,1,0,0
29,31,1,0,0
23,32,1,0,0
31,32,1,0,0
27,32,1,0,0
15,33,1,0,0
19,34,1,0,0
35,36,1,0,0
35,37,1,0,0
33,37,1,0,0
34,36,1,0,0
34,37,1,0,0
38,37,1,0,0
37,39,1,0,0
37,40,1,0,0
30,38,1,0,0
39,40,1,0,0
40,41,1,0,0
40,42,1,0,0
41,42,1,0,0
43,44,1,0,0
34,43,1,0,0
44,45,1,0,0
45,46,1,0,0
46,47,1,0,0
46,48,1,0,0
47,49,1,0,0
42,49,1,0,0
45,49,1,0,0
48,49,1,0,0
49,50,1,0,0
49,51,1,0,0
51,52,1,0,0
52,53,1,0,0
53,54,1,0,0
49,54,1,0,0
54,55,1,0,0
54,56,1,0,0
55,56,1,0,0
56,57,1,0,0
50,57,1,0,0
56,58,1,0,0
51,58,1,0,0
54,59,1,0,0
56,59,1,0,0
55,59,1,0,0
59,60,1,0,0
59,61,1,0,0
60,61,1,0,0
60,62,1,0,0
61,62,1,0,0
63,59,1,0,0
63,64,1,0,0
64,61,1,0,0
38,65,1,0,0
64,65,1,0,0
49,66,1,0,0
62,66,1,0,0
62,67,1,0,0
65,66,1,0,0
65,68,1,0,0
47,69,1,0,0
49,69,1,0,0
68,69,1,0,0
69,70,1,0,0
24,70,1,0,0
70,71,1,0,0
24,72,1,0,0
71,72,1,0,0
71,73,1,0,0
70,74,1,0,0
70,75,1,0,0
69,75,1,0,0
74,75,1,0,0
76,77,1,0,0
69,77,1,0,0
75,77,1,0,0
77,78,1,0,0
78,79,1,0,0
77,80,1,0,0
79,80,1,0,0
68,81,1,0,0
81,80,1,0,0
77,82,1,0,0
82,83,1,0,0
83,84,1,0,0
83,85,1,0,0
84,85,1,0,0
85,86,1,0,0
86,87,1,0,0
85,88,1,0,0
85,89,1,0,0
88,89,1,0,0
89,90,1,0,0
90,91,1,0,0
89,92,1,0,0
91,92,1,0,0
92,93,1,0,0
92,94,1,0,0
93,94,1,0,0
94,95,1,0,0
80,96,1,0,0
82,96,1,0,0
94,96,1,0,0
80,97,1,0,0
80,98,1,0,0
80,99,1,0,0
92,100,1,0,0
94,100,1,0,0
95,96,1,0,0
96,97,1,0,0
98,100,1,0,0
99,100,1,0,0
100,101,1,0,0
92,102,1,0,0
101,102,1,0,0
100,103,1,0,0
100,104,1,0,0
103,104,1,0,0
103,105,1,0,0
100,106,1,0,0
104,105,1,0,0
105,106,1,0,0
105,107,1,0,0
105,108,1,0,0
106,107,1,0,0
108,109,1,0,0
103,110,1,0,0
109,110,1,0,0
110,111,1,0,0
110,112,1,0,0
17,113,1,0,0
32,113,1,0,0
32,114,1,0,0
27,115,1,0,0
114,115,1,0,0
68,116,1,0,0
12,117,1,0,0
75,118,1,0,0
76,118,1,0,0
1,2,2,0,0
1,3,2,0,0
4,5,2,0,0
3,5,2,0,0
5,6,2,0,0
6,7,2,0,0
8,9,2,0,0
8,5,2,0,0
9,10,2,0,0
4,11,2,0,0
5,11,2,0,0
11,12,2,0,0
2,12,2,0,0
3,12,2,0,0
7,12,2,0,0
11,13,2,0,0
12,14,2,0,0
13,15,2,0,0
14,15,2,0,0
12,16,2,0,0
15,17,2,0,0
16,17,2,0,0
17,18,2,0,0
18,19,2,0,0
19,20,2,0,0
15,19,2,0,0
20,21,2,0,0
21,22,2,0,0
22,23,2,0,0
23,24,2,0,0
23,25,2,0,0
26,25,2,0,0
25,27,2,0,0
27,28,2,0,0
28,29,2,0,0
30,17,2,0,0
8,30,2,0,0
26,30,2,0,0
17,31,2,0,0
29,31,2,0,0
23,32,2,0,0
31,32,2,0,0
27,32,2,0,0
15,33,2,0,0
19,34,2,0,0
35,36,2,0,0
35,37,2,0,0
33,37,2,0,0
34,36,2,0,0
34,37,2,0,0
38,37,2,0,0
37,39,2,0,0
37,40,2,0,0
30,38,2,0,0
39,40,2,0,0
40,41,2,0,0
40,42,2,0,0
41,42,2,0,0
43,44,2,0,0
34,43,2,0,0
44,45,2,0,0
45,46,2,0,0
46,47,2,0,0
46,48,2,0,0
47,49,2,0,0
42,49,2,0,0
45,49,2,0,0
48,49,2,0,0
49,50,2,0,0
49,51,2,0,0
51,52,2,0,0
52,53,2,0,0
53,54,2,0,0
49,54,2,0,0
54,55,2,0,0
54,56,2,0,0
55,56,2,0,0
56,57,2,0,0
50,57,2,0,0
56,58,2,0,0
51,58,2,0,0
54,59,2,0,0
56,59,2,0,0
55,59,2,0,0
59,60,2,0,0
59,61,2,0,0
60,61,2,0,0
60,62,2,0,0
61,62,2,0,0
63,59,2,0,0
63,64,2,0,0
64,61,2,0,0
38,65,2,0,0
64,65,2,0,0
49,66,2,0,0
62,66,2,0,0
62,67,2,0,0
65,66,2,0,0
65,68,2,0,0
47,69,2,0,0
49,69,2,0,0
68,69,2,0,0
69,70,2,0,0
24,70,2,0,0
70,71,2,0,0
24,72,2,0,0
71,72,2,0,0
71,73,2,0,0
70,74,2,0,0
70,75,2,0,0
69,75,2,0,0
74,75,2,0,0
76,77,2,0,0
69,77,2,0,0
75,77,2,0,0
77,78,2,0,0
78,79,2,0,0
77,80,2,0,0
79,80,2,0,0
68,81,2,0,0
81,80,2,0,0
77,82,2,0,0
82,83,2,0,0
83,84,2,0,0
83,85,2,0,0
84,85,2,0,0
85,86,2,0,0
86,87,2,0,0
85,88,2,0,0
85,89,2,0,0
88,89,2,0,0
89,90,2,0,0
90,91,2,0,0
89,92,2,0,0
91,92,2,0,0
92,93,2,0,0
92,94,2,0,0
93,94,2,0,0
94,95,2,0,0
80,96,2,0,0
82,96,2,0,0
94,96,2,0,0
80,97,2,0,0
80,98,2,0,0
80,99,2,0,0
92,100,2,0,0
94,100,2,0,0
95,96,2,0,0
96,97,2,0,0
98,100,2,0,0
99,100,2,0,0
100,101,2,0,0
92,102,2,0,0
101,102,2,0,0
100,103,2,0,0
100,104,2,0,0
103,104,2,0,0
103,105,2,0,0
100,106,2,0,0
104,105,2,0,0
105,106,2,0,0
105,107,2,0,0
105,108,2,0,0
106,107,2,0,0
108,109,2,0,0
103,110,2,0,0
109,110,2,0,0
110,111,2,0,0
110,112,2,0,0
17,113,2,0,0
32,113,2,0,0
32,114,2,0,0
27,115,2,0,0
114,115,2,0,0
68,116,2,0,0
12,117,2,0,0
75,118,2,0,0
76,118,2,0,0
1,2,3,0,0
1,3,3,0,0
4,5,3,0,0
3,5,3,0,0
5,6,3,0,0
6,7,3,0,0
8,9,3,0,0
8,5,3,0,0
9,10,3,0,0
4,11,3,0,0
5,11,3,0,0
11,12,3,0,0
2,12,3,0,0
3,12,3,0,0
7,12,3,0,0
11,13,3,0,0
12,14,3,0,0
13,15,3,0,0
14,15,3,0,0
12,16,3,0,0
15,17,3,0,0
16,17,3,0,0
17,18,3,0,0
18,19,3,0,0
19,20,3,0,0
15,19,3,0,0
20,21,3,0,0
21,22,3,0,0
22,23,3,0,0
23,24,3,0,0
23,25,3,0,0
26,25,3,0,0
25,27,3,0,0
27,28,3,0,0
28,29,3,0,0
30,17,3,0,0
8,30,3,0,0
26,30,3,0,0
17,31,3,0,0
29,31,3,0,0
23,32,3,0,0
31,32,3,0,0
27,32,3,0,0
15,33,3,0,0
19,34,3,0,0
35,36,3,0,0
35,37,3,0,0
33,37,3,0,0
34,36,3,0,0
34,37,3,0,0
38,37,3,0,0
37,39,3,0,0
37,40,3,0,0
30,38,3,0,0
39,40,3,0,0
40,41,3,0,0
40,42,3,0,0
41,42,3,0,0
43,44,3,0,0
34,43,3,0,0
44,45,3,0,0
45,46,3,0,0
46,47,3,0,0
46,48,3,0,0
47,49,3,0,0
42,49,3,0,0
45,49,3,0,0
48,49,3,0,0
49,50,3,0,0
49,51,3,0,0
51,52,3,0,0
52,53,3,0,0
53,54,3,0,0
49,54,3,0,0
54,55,3,0,0
54,56,3,0,0
55,56,3,0,0
56,57,3,0,0
50,57,3,0,0
56,58,3,0,0
51,58,3,0,0
54,59,3,0,0
56,59,3,0,0
55,59,3,0,0
59,60,3,0,0
59,61,3,0,0
60,61,3,0,0
60,62,3,0,0
61,62,3,0,0
63,59,3,0,0
63,64,3,0,0
64,61,3,0,0
38,65,3,0,0
64,65,3,0,0
49,66,3,0,0
62,66,3,0,0
62,67,3,0,0
65,66,3,0,0
65,68,3,0,0
47,69,3,0,0
49,69,3,0,0
68,69,3,0,0
69,70,3,0,0
24,70,3,0,0
70,71,3,0,0
24,72,3,0,0
71,72,3,0,0
71,73,3,0,0
70,74,3,0,0
70,75,3,0,0
69,75,3,0,0
74,75,3,0,0
76,77,3,0,0
69,77,3,0,0
75,77,3,0,0
77,78,3,0,0
78,79,3,0,0
77,80,3,0,0
79,80,3,0,0
68,81,3,0,0
81,80,3,0,0
77,82,3,0,0
82,83,3,0,0
83,84,3,0,0
83,85,3,0,0
84,85,3,0,0
85,86,3,0,0
86,87,3,0,0
85,88,3,0,0
85,89,3,0,0
88,89,3,0,0
89,90,3,0,0
90,91,3,0,0
89,92,3,0,0
91,92,3,0,0
92,93,3,0,0
92,94,3,0,0
93,94,3,0,0
94,95,3,0,0
80,96,3,0,0
82,96,3,0,0
94,96,3,0,0
80,97,3,0,0
80,98,3,0,0
80,99,3,0,0
92,100,3,0,0
94,100,3,0,0
95,96,3,0,0
96,97,3,0,0
98,100,3,0,0
99,100,3,0,0
100,101,3,0,0
92,102,3,0,0
101,102,3,0,0
100,103,3,0,0
100,104,3,0,0
103,104,3,0,0
103,105,3,0,0
100,106,3,0,0
104,105,3,0,0
105,106,3,0,0
105,107,3,0,0
105,108,3,0,0
106,107,3,0,0
108,109,3,0,0
103,110,3,0,0
109,110,3,0,0
110,111,3,0,0
110,112,3,0,0
17,113,3,0,0
32,113,3,0,0
32,114,3,0,0
27,115,3,0,0
114,115,3,0,0
68,116,3,0,0
12,117,3,0,0
75,118,3,0,0
76,118,3,0,0
1,2,4,0,0
1,3,4,0,0
4,5,4,0,0
3,5,4,0,0
5,6,4,0,0
6,7,4,0,0
8,9,4,0,0
8,5,4,0,0
9,10,4,0,0
4,11,4,0,0
5,11,4,0,0
11,12,4,0,0
2,12,4,0,0
3,12,4,0,0
7,12,4,0,0
11,13,4,0,0
12,14,4,0,0
13,15,4,0,0
14,15,4,0,0
12,16,4,0,0
15,17,4,0,0
16,17,4,0,0
17,18,4,0,0
18,19,4,0,0
19,20,4,0,0
15,19,4,0,0
20,21,4,0,0
21,22,4,0,0
22,23,4,0,0
23,24,4,0,0
23,25,4,0,0
26,25,4,0,0
25,27,4,0,0
27,28,4,0,0
28,29,4,0,0
30,17,4,0,0
8,30,4,0,0
26,30,4,0,0
17,31,4,0,0
29,31,4,0,0
23,32,4,0,0
31,32,4,0,0
27,32,4,0,0
15,33,4,0,0
19,34,4,0,0
35,36,4,0,0
35,37,4,0,0
33,37,4,0,0
34,36,4,0,0
34,37,4,0,0
38,37,4,0,0
37,39,4,0,0
37,40,4,0,0
30,38,4,0,0
39,40,4,0,0
40,41,4,0,0
40,42,4,0,0
41,42,4,0,0
43,44,4,0,0
34,43,4,0,0
44,45,4,0,0
45,46,4,0,0
46,47,4,0,0
46,48,4,0,0
47,49,4,0,0
42,49,4,0,0
45,49,4,0,0
48,49,4,0,0
49,50,4,0,0
49,51,4,0,0
51,52,4,0,0
52,53,4,0,0
53,54,4,0,0
49,54,4,0,0
54,55,4,0,0
54,56,4,0,0
55,56,4,0,0
56,57,4,0,0
50,57,4,0,0
56,58,4,0,0
51,58,4,0,0
54,59,4,0,0
56,59,4,0,0
55,59,4,0,0
59,60,4,0,0
59,61,4,0,0
60,61,4,0,0
60,62,4,0,0
61,62,4,0,0
63,59,4,0,0
63,64,4,0,0
64,61,4,0,0
38,65,4,0,0
64,65,4,0,0
49,66,4,0,0
62,66,4,0,0
62,67,4,0,0
65,66,4,0,0
65,68,4,0,0
47,69,4,0,0
49,69,4,0,0
68,69,4,0,0
69,70,4,0,0
24,70,4,0,0
70,71,4,0,0
24,72,4,0,0
71,72,4,0,0
71,73,4,0,0
70,74,4,0,0
70,75,4,0,0
69,75,4,0,0
74,75,4,0,0
76,77,4,0,0
69,77,4,0,0
75,77,4,0,0
77,78,4,0,0
78,79,4,0,0
77,80,4,0,0
79,80,4,0,0
68,81,4,0,0
81,80,4,0,0
77,82,4,0,0
82,83,4,0,0
83,84,4,0,0
83,85,4,0,0
84,85,4,0,0
85,86,4,0,0
86,87,4,0,0
85,88,4,0,0
85,89,4,0,0
88,89,4,0,0
89,90,4,0,0
90,91,4,0,0
89,92,4,0,0
91,92,4,0,0
92,93,4,0,0
92,94,4,0,0
93,94,4,0,0
94,95,4,0,0
80,96,4,0,0
82,96,4,0,0
94,96,4,0,0
80,97,4,0,0
80,98,4,0,0
80,99,4,0,0
92,100,4,0,0
94,100,4,0,0
95,96,4,0,0
96,97,4,0,0
98,100,4,0,0
99,100,4,0,0
100,101,4,0,0
92,102,4,0,0
101,102,4,0,0
100,103,4,0,0
100,104,4,0,0
103,104,4,0,0
103,105,4,0,0
100,106,4,0,0
104,105,4,0,0
105,106,4,0,0
105,107,4,0,0
105,108,4,0,0
106,107,4,0,0
108,109,4,0,0
103,110,4,0,0
109,110,4,0,0
110,111,4,0,0
110,112,4,0,0
17,113,4,0,0
32,113,4,0,0
32,114,4,0,0
27,115,4,0,0
114,115,4,0,0
68,116,4,0,0
12,117,4,0,0
75,118,4,0,0
76,118,4,0,0
1,2,5,0,0
1,3,5,0,0
4,5,5,0,0
3,5,5,0,0
5,6,5,0,0
6,7,5,0,0
8,9,5,0,0
8,5,5,0,0
9,10,5,0,0
4,11,5,0,0
5,11,5,0,0
11,12,5,0,0
2,12,5,0,0
3,12,5,0,0
7,12,5,0,0
11,13,5,0,0
12,14,5,0,0
13,15,5,0,0
14,15,5,0,0
12,16,5,0,0
15,17,5,0,0
16,17,5,0,0
17,18,5,0,0
18,19,5,0,0
19,20,5,0,0
15,19,5,0,0
20,21,5,0,0
21,22,5,0,0
22,23,5,0,0
23,24,5,0,0
23,25,5,0,0
26,25,5,0,0
25,27,5,0,0
27,28,5,0,0
28,29,5,0,0
30,17,5,0,0
8,30,5,0,0
26,30,5,0,0
17,31,5,0,0
29,31,5,0,0
23,32,5,0,0
31,32,5,0,0
27,32,5,0,0
15,33,5,0,0
19,34,5,0,0
35,36,5,0,0
35,37,5,0,0
33,37,5,0,0
34,36,5,0,0
34,37,5,0,0
38,37,5,0,0
37,39,5,0,0
37,40,5,0,0
30,38,5,0,0
39,40,5,0,0
40,41,5,0,0
40,42,5,0,0
41,42,5,0,0
43,44,5,0,0
34,43,5,0,0
44,45,5,0,0
45,46,5,0,0
46,47,5,0,0
46,48,5,0,0
47,49,5,0,0
42,49,5,0,0
